"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1937031033427505566","Mon Jun 23 06:12:41 +0000 2025","0","No More War! Potret Demo di AS Tolak Amerika Ikut Perang Israel-Iran https://t.co/sib53VvX6o","1937031033427505566","","","in","","0","0","0","https://x.com/undefined/status/1937031033427505566","1893077508310065152",
"1937028087041937423","Mon Jun 23 06:00:58 +0000 2025","1","Che bella panorama #TelAviv #Iran #war #Israel MrJokerAntiall ️🃏","1937028087041937423","","","in","","0","0","0","https://x.com/undefined/status/1937028087041937423","1630792472509939712",
"1937026239426126082","Mon Jun 23 05:53:38 +0000 2025","3","Ya Allah iran Israel war mn Iran ko fatah dena aameen","1937026239426126082","","","in","","0","1","0","https://x.com/undefined/status/1937026239426126082","1829781785242136576",
"1937020783114731914","Mon Jun 23 05:31:57 +0000 2025","0","Iran🇮🇷-Israel🇮🇱-USA🇱🇷 war #WorldWar3 https://t.co/SxBPnsuYyr","1937020783114731914","https://pbs.twimg.com/ext_tw_video_thumb/1937020747777474560/pu/img/Ut6iTymVwusU-emi.jpg","","in","","0","0","0","https://x.com/undefined/status/1937020783114731914","1451383159614894080",
"1937019478459740602","Mon Jun 23 05:26:46 +0000 2025","0","Iran-Israel-USA war #WorldWar3 https://t.co/zDCgYEnyfD","1937019478459740602","https://pbs.twimg.com/ext_tw_video_thumb/1937019435925061632/pu/img/kHd_T92ahu_ZRWHH.jpg","","in","","0","0","0","https://x.com/undefined/status/1937019478459740602","1451383159614894080",
"1937019446591459598","Mon Jun 23 05:26:38 +0000 2025","0","ISRAEL JEW JEWISH IRAN CHINA RUSSIA ARAB MUSLIM SUNNI Shia Libya Iraq PALESTINIAN AMERICA EUROPE ASIA India Pakistan Australia Canada China Korea japan JUDGE NAP: Was striking IRAN Unconstitutional? Was it a War Crime? https://t.co/i3rtH1XnaZ via @YouTube","1937019446591459598","","","in","","0","0","0","https://x.com/undefined/status/1937019446591459598","1618987828519768064",
"1936334926842081655","Mon Jun 23 04:28:08 +0000 2025","1","@khairulerror @masriMMMR Mungkin saya salah paham tweet asal. I'm just referring to certain puak yg kata Iran je yg baik tolong palestin negara arab sekeliling semua buat bodo while negara² arab tu lah yg 1st skali go to war against Israel","1937004724630454694","","khairulerror","in","","0","0","0","https://x.com/undefined/status/1937004724630454694","1157657110257123328",
"1936927525957259728","Mon Jun 23 04:26:36 +0000 2025","0","@fotodakwah Kalo menurut saya daripada malu mending diem @felixsiauw . Selain program Nuklir Iran Proxy War Iran yg terus menggerogoti keamanan Israel juga adalah salah satu alasan kenapa Israel sangat benci Iran. Proxy War Iran salah satunya Hizbullah dan Houthi yg Rajin bela Pelestina.","1937004336254714298","","fotodakwah","in","","0","0","0","https://x.com/undefined/status/1937004336254714298","1899376181046308864",
"1937003232087474537","Mon Jun 23 04:22:12 +0000 2025","0","NO MORE WAR! Senator Sanders Kecam Trump: Ini Pelanggaran Konstitusi #diskursusnetwork #BernieSanders #NoMoreWar #StopUnconstitutionalWar #AntiWar #Trump #Iran #Israel #AS #PeaceNow https://t.co/8dkGT2kv8D","1937003232087474537","https://pbs.twimg.com/amplify_video_thumb/1937002019316740096/img/ffIuBU-zCI8TmnUz.jpg","","in","","0","0","0","https://x.com/undefined/status/1937003232087474537","1431093872835235843",
"1937001029054455814","Mon Jun 23 04:13:27 +0000 2025","0","China dah join the war ke? Ni kan Israel/USA vs Iran je.","1937001029054455814","","","in","","0","0","0","https://x.com/undefined/status/1937001029054455814","463749375",
